velo_x, velo_y
1.1076559111482622, 1.1076559111482622
2.2209339436453917, 2.2209339436453917
3.3404315863762397, 3.3404315863762397
4.466800161789134, 4.466800161789134
5.60074851497106, 5.60074851497106
6.743046823364871, 6.743046823364871
7.894530515475617, 7.894530515475617
9.05610428468981, 9.05610428468981
10.228746181984036, 10.228746181984036
11.413511768839104, 11.413511768839104
12.61153830911641, 12.61153830911641
13.82404897601106, 13.82404897601106
15.052357047490727, 15.052357047490727
16.297870060882445, 16.297870060882445
17.56209389450647, 17.56209389450647
18.846636741505137, 18.846636741505137
20.15321293830556, 20.15321293830556
21.483646607521894, 21.483646607521894
22.839875072580973, 22.839875072580973
24.223951998983033, 24.223951998983033
25.638050214926505, 25.638050214926505
27.08446416207449, 27.08446416207449
28.565611925563438, 28.565611925563438
30.084036790994944, 30.084036790994944
31.642408275154153, 31.642408275154153
33.2435225766061, 33.2435225766061
34.890302392177325, 34.890302392177325
36.58579604567585, 36.58579604567585
38.333175876076304, 38.333175876076304
40.13573583383608, 40.13573583383608
41.99688823604327, 41.99688823604327
43.920159633758125, 43.920159633758125
45.90918574821757, 45.90918574821757
47.96770543654541, 47.96770543654541
50.099553652258955, 50.099553652258955
52.308653371189095, 52.308653371189095
54.599006459431095, 54.599006459431095
56.974683466604276, 56.974683466604276
59.439812334998564, 59.439812334998564
61.99856602309371, 61.99856602309371
64.65514905041258, 64.65514905041258
67.41378297966288, 67.41378297966288
70.27869086157347, 70.27869086157347
73.25408067767145, 73.25408067767145
76.34412782639916, 76.34412782639916
79.55295670834536, 79.55295670834536
82.88462147687216, 82.88462147687216
86.34308603095147, 86.34308603095147
89.93220333747678, 89.93220333747678
93.65569418057194, 93.65569418057194
97.51712544535955, 97.51712544535955
101.51988805315702, 101.51988805315702
105.66717467401399, 105.66717467401399
109.9619573507689, 109.9619573507689
114.40696517626115, 114.40696517626115
119.00466217187298, 119.00466217187298
123.75722552107561, 123.75722552107561
128.66652431601284, 128.66652431601284
133.73409897827202, 133.73409897827202
138.96114151677975, 138.96114151677975
144.34847678614057, 144.34847678614057
149.89654490764846, 149.89654490764846
155.60538501259148, 155.60538501259148
161.4746204633111, 161.4746204633111
167.50344570174687, 167.50344570174687
173.69061486790096, 173.69061486790096
180.0344323218111, 180.0344323218111
186.5327451922656, 186.5327451922656
193.182938063686, 193.182938063686
199.98192989941796, 199.98192989941796
206.9261732852034, 206.9261732852034
214.01165606096896, 214.01165606096896
221.2339053923858, 221.2339053923858
228.58799431607835, 228.58799431607835
236.0685507740441, 236.0685507740441
243.66976913396223, 243.66976913396223
251.3854241727991, 251.3854241727991
259.208887481653, 259.208887481653
267.1331462303143, 267.1331462303143
275.1508242107533, 275.1508242107533
283.254205059882, 283.254205059882
291.43525754367863, 291.43525754367863
299.68566276729604, 299.68566276729604
307.996843159304, 307.996843159304
316.3599930629075, 316.3599930629075
324.76611075301787, 324.76611075301787
333.20603168557983, 333.20603168557983
341.6704627747227, 341.6704627747227
350.1500174842222, 350.1500174842222
358.6352515125424, 358.6352515125424
367.11669884545, 367.11669884545
375.5849079469196, 375.5849079469196
384.0304778578178, 384.0304778578178
392.4440939726738, 392.4440939726738
400.8165632677132, 400.8165632677132
409.1388487582108, 409.1388487582108
417.4021029700536, 417.4021029700536
425.59770021912175, 425.59770021912175
433.7172675025892, 433.7172675025892
441.75271381840065, 441.75271381840065
